UID,EventType,EventName,LocalTime,StayTime,Source,OS,Gender,Age,Level,Version,isGray
13056440,browse,Videos,1686310344971,2046,push,Android,f,48,2,4.13,N,
13056440,browse,GoodDetail,1686310346895,1924,push,Android,f,48,2,4.13,N,
13056440,browse,Videos,1686310348954,2059,push,Android,f,48,2,4.13,N,
13056440,click,Payment,1686310351027,2073,push,Android,f,48,2,4.13,N,
13056440,browse,Instructions,1686310353077,2050,push,Android,f,48,2,4.13,N,
13056440,browse,PaySuccess,1686310355003,1926,push,Android,f,48,2,4.13,N,
22629521,browse,Activity,1686306478826,1926,push,iOS,m,23,0,4.13,N,
22629521,browse,GoodList,1686306480854,2028,push,iOS,m,23,0,4.13,N,
22629521,browse,Live,1686306482669,1815,push,iOS,m,23,0,4.13,N,
22629521,browse,Videos,1686306484658,1989,push,iOS,m,23,0,4.13,N,
22629521,browse,Instructions,1686306486512,1854,push,iOS,m,23,0,4.13,N,
22629521,browse,Activity,1686306488520,2008,push,iOS,m,23,0,4.13,N,
22629521,browse,Videos,1686306490409,1889,push,iOS,m,23,0,4.13,N,
22629521,browse,Videos,1686306492392,1983,push,iOS,m,23,0,4.13,N,
22629521,browse,GoodList,1686306494358,1966,push,iOS,m,23,0,4.13,N,
22629521,browse,GoodDetail,1686306496268,1910,push,iOS,m,23,0,4.13,N,
22629521,click,AddToCart,1686306498316,2048,push,iOS,m,23,0,4.13,N,
11115298,browse,Activity,1686321381769,2048,natural,Android,m,28,0,4.13,N,
11115298,browse,GoodList,1686321383761,1992,natural,Android,m,28,0,4.13,N,
11115298,browse,Videos,1686321385849,2088,natural,Android,m,28,0,4.13,N,
11115298,browse,GoodDetail,1686321387767,1918,natural,Android,m,28,0,4.13,N,
11115298,browse,GoodList,1686321389715,1948,natural,Android,m,28,0,4.13,N,
11115298,browse,GoodDetail,1686321391694,1979,natural,Android,m,28,0,4.13,N,
11115298,browse,GoodList,1686321393563,1869,natural,Android,m,28,0,4.13,N,
11115298,browse,GoodDetail,1686321395735,2172,natural,Android,m,28,0,4.13,N,
11115298,browse,GoodList,1686321397725,1990,natural,Android,m,28,0,4.13,N,
11115298,browse,GoodDetail,1686321399970,2245,natural,Android,m,28,0,4.13,N,
11115298,click,AddToCart,1686321401970,2000,natural,Android,m,28,0,4.13,N,
09638731,browse,Activity,1686319005841,2000,push,Android,f,35,0,4.13,N,
09638731,browse,Live,1686319007832,1991,push,Android,f,35,0,4.13,N,
09638731,browse,GoodList,1686319009791,1959,push,Android,f,35,0,4.13,N,
09638731,browse,Videos,1686319011533,1742,push,Android,f,35,0,4.13,N,
09638731,browse,Videos,1686319013418,1885,push,Android,f,35,0,4.13,N,
09638731,browse,Activity,1686319015414,1996,push,Android,f,35,0,4.13,N,
09638731,browse,Videos,1686319017268,1854,push,Android,f,35,0,4.13,N,
09638731,browse,GoodList,1686319019157,1889,push,Android,f,35,0,4.13,N,
09638731,browse,GoodDetail,1686319021109,1952,push,Android,f,35,0,4.13,N,
09638731,browse,Live,1686319023148,2039,push,Android,f,35,0,4.13,N,
09638731,browse,Live,1686319025123,1975,push,Android,f,35,0,4.13,N,
09638731,click,Payment,1686319027146,2023,push,Android,f,35,0,4.13,N,
09638731,browse,Instructions,1686319029102,1956,push,Android,f,35,0,4.13,N,
09638731,browse,PaySuccess,1686319031075,1973,push,Android,f,35,0,4.13,N,
24959077,browse,Activity,1686319213519,1973,push,Android,f,39,0,4.13,N,
24959077,browse,GoodList,1686319215628,2109,push,Android,f,39,0,4.13,N,
24959077,browse,GoodDetail,1686319217689,2061,push,Android,f,39,0,4.13,N,
24959077,browse,Videos,1686319219714,2025,push,Android,f,39,0,4.13,N,
24959077,browse,Videos,1686319221706,1992,push,Android,f,39,0,4.13,N,
24959077,browse,Settings,1686319223687,1981,push,Android,f,39,0,4.13,N,
24959077,browse,GoodList,1686319225602,1915,push,Android,f,39,0,4.13,N,
24959077,browse,Videos,1686319227743,2141,push,Android,f,39,0,4.13,N,
24959077,browse,Videos,1686319229666,1923,push,Android,f,39,0,4.13,N,
24959077,browse,GoodDetail,1686319231663,1997,push,Android,f,39,0,4.13,N,
24959077,browse,Videos,1686319233836,2173,push,Android,f,39,0,4.13,N,
24959077,browse,GoodList,1686319235846,2010,push,Android,f,39,0,4.13,N,
24959077,browse,GoodDetail,1686319237674,1828,push,Android,f,39,0,4.13,N,
24959077,browse,GoodList,1686319239595,1921,push,Android,f,39,0,4.13,N,
24959077,browse,GoodDetail,1686319241681,2086,push,Android,f,39,0,4.13,N,
24959077,click,Payment,1686319243610,1929,push,Android,f,39,0,4.13,N,
24959077,browse,Instructions,1686319245641,2031,push,Android,f,39,0,4.13,N,
24959077,browse,Instructions,1686319247571,1930,push,Android,f,39,0,4.13,N,
24959077,browse,PaySuccess,1686319249497,1926,push,Android,f,39,0,4.13,N,
01317818,browse,Activity,1686298069082,1926,natural,iOS,m,26,0,4.13,N,
01317818,browse,Videos,1686298071236,2154,natural,iOS,m,26,0,4.13,N,
01317818,browse,GoodList,1686298073209,1973,natural,iOS,m,26,0,4.13,N,
01317818,browse,Videos,1686298075318,2109,natural,iOS,m,26,0,4.13,N,
01317818,browse,Activity,1686298077424,2106,natural,iOS,m,26,0,4.13,N,
01317818,browse,Instructions,1686298079325,1901,natural,iOS,m,26,0,4.13,N,
01317818,browse,Videos,1686298081299,1974,natural,iOS,m,26,0,4.13,N,
01317818,browse,Live,1686298083169,1870,natural,iOS,m,26,0,4.13,N,
01317818,browse,GoodList,1686298085182,2013,natural,iOS,m,26,0,4.13,N,
01317818,browse,Videos,1686298087231,2049,natural,iOS,m,26,0,4.13,N,
01317818,browse,GoodDetail,1686298088958,1727,natural,iOS,m,26,0,4.13,N,
01317818,click,AddToCart,1686298091012,2054,natural,iOS,m,26,0,4.13,N,
01502649,browse,Activity,1686302647063,2054,push,Android,f,23,0,4.13,N,
01502649,browse,GoodList,1686302648997,1934,push,Android,f,23,0,4.13,N,
01502649,browse,Instructions,1686302650827,1830,push,Android,f,23,0,4.13,N,
01502649,browse,GoodDetail,1686302652778,1951,push,Android,f,23,0,4.13,N,
01502649,browse,GoodList,1686302655086,2308,push,Android,f,23,0,4.13,N,
01502649,browse,GoodDetail,1686302657233,2147,push,Android,f,23,0,4.13,N,
01502649,browse,Live,1686302659253,2020,push,Android,f,23,0,4.13,N,
01502649,browse,Live,1686302661304,2051,push,Android,f,23,0,4.13,N,
01502649,browse,GoodList,1686302663200,1896,push,Android,f,23,0,4.13,N,
01502649,browse,Videos,1686302665193,1993,push,Android,f,23,0,4.13,N,
01502649,browse,GoodDetail,1686302667124,1931,push,Android,f,23,0,4.13,N,
01502649,browse,Videos,1686302669047,1923,push,Android,f,23,0,4.13,N,
01502649,browse,Videos,1686302671061,2014,push,Android,f,23,0,4.13,N,
01502649,browse,GoodList,1686302673017,1956,push,Android,f,23,0,4.13,N,
01502649,browse,Live,1686302674903,1886,push,Android,f,23,0,4.13,N,
01502649,browse,GoodDetail,1686302677000,2097,push,Android,f,23,0,4.13,N,
01502649,click,Payment,1686302679104,2104,push,Android,f,23,0,4.13,N,
01502649,browse,PaySuccess,1686302681252,2148,push,Android,f,23,0,4.13,N,
15927641,browse,Activity,1686286262074,2148,push,Android,f,56,0,4.13,N,
15927641,browse,Live,1686286264147,2073,push,Android,f,56,0,4.13,N,
15927641,browse,GoodList,1686286266088,1941,push,Android,f,56,0,4.13,N,
15927641,browse,Activity,1686286267972,1884,push,Android,f,56,0,4.13,N,
15927641,browse,Videos,1686286269938,1966,push,Android,f,56,0,4.13,N,
15927641,browse,Live,1686286271810,1872,push,Android,f,56,0,4.13,N,
15927641,browse,Videos,1686286273640,1830,push,Android,f,56,0,4.13,N,
15927641,browse,GoodList,1686286275545,1905,push,Android,f,56,0,4.13,N,
15927641,browse,Live,1686286277863,2318,push,Android,f,56,0,4.13,N,
15927641,browse,Videos,1686286279965,2102,push,Android,f,56,0,4.13,N,
15927641,browse,GoodDetail,1686286281737,1772,push,Android,f,56,0,4.13,N,
15927641,browse,Live,1686286283979,2242,push,Android,f,56,0,4.13,N,
15927641,browse,Videos,1686286286029,2050,push,Android,f,56,0,4.13,N,
15927641,browse,Settings,1686286287954,1925,push,Android,f,56,0,4.13,N,
15927641,click,AddToCart,1686286290054,2100,push,Android,f,56,0,4.13,N,
08754500,browse,Activity,1686284273634,2100,natural,Android,f,31,0,4.13,N,
08754500,browse,GoodList,1686284275487,1853,natural,Android,f,31,0,4.13,N,
08754500,browse,Activity,1686284277522,2035,natural,Android,f,31,0,4.13,N,
08754500,browse,GoodList,1686284279496,1974,natural,Android,f,31,0,4.13,N,
08754500,browse,Activity,1686284281385,1889,natural,Android,f,31,0,4.13,N,
08754500,browse,GoodList,1686284283451,2066,natural,Android,f,31,0,4.13,N,
08754500,browse,Activity,1686284285514,2063,natural,Android,f,31,0,4.13,N,
08754500,browse,GoodList,1686284287438,1924,natural,Android,f,31,0,4.13,N,
08754500,browse,GoodDetail,1686284289243,1805,natural,Android,f,31,0,4.13,N,
08754500,click,AddToCart,1686284291158,1915,natural,Android,f,31,0,4.13,N,
16159279,browse,Activity,1686303156781,1915,push,Android,m,41,0,4.13,N,
16159279,browse,Personal,1686303158896,2115,push,Android,m,41,0,4.13,N,
16159279,browse,Live,1686303160860,1964,push,Android,m,41,0,4.13,N,
16159279,browse,GoodList,1686303162959,2099,push,Android,m,41,0,4.13,N,
16159279,browse,Activity,1686303165041,2082,push,Android,m,41,0,4.13,N,
16159279,browse,GoodList,1686303166999,1958,push,Android,m,41,0,4.13,N,
16159279,browse,GoodDetail,1686303168870,1871,push,Android,m,41,0,4.13,N,
16159279,browse,Videos,1686303170835,1965,push,Android,m,41,0,4.13,N,
16159279,browse,Videos,1686303172733,1898,push,Android,m,41,0,4.13,N,
16159279,click,AddToCart,1686303174795,2062,push,Android,m,41,0,4.13,N,
06094549,browse,Activity,1686313406487,2062,push,Android,m,39,0,4.13,N,
06094549,browse,GoodList,1686313408508,2021,push,Android,m,39,0,4.13,N,
06094549,browse,Live,1686313410592,2084,push,Android,m,39,0,4.13,N,
06094549,browse,Activity,1686313412648,2056,push,Android,m,39,0,4.13,N,
06094549,browse,Videos,1686313414577,1929,push,Android,m,39,0,4.13,N,
06094549,browse,GoodList,1686313416591,2014,push,Android,m,39,0,4.13,N,
06094549,browse,Activity,1686313418572,1981,push,Android,m,39,0,4.13,N,
06094549,browse,GoodList,1686313420532,1960,push,Android,m,39,0,4.13,N,
06094549,browse,Live,1686313422638,2106,push,Android,m,39,0,4.13,N,
06094549,browse,Activity,1686313424541,1903,push,Android,m,39,0,4.13,N,
06094549,browse,Videos,1686313426479,1938,push,Android,m,39,0,4.13,N,
06094549,browse,GoodList,1686313428516,2037,push,Android,m,39,0,4.13,N,
06094549,browse,GoodDetail,1686313430471,1955,push,Android,m,39,0,4.13,N,
06094549,browse,Live,1686313432533,2062,push,Android,m,39,0,4.13,N,
06094549,browse,Live,1686313434452,1919,push,Android,m,39,0,4.13,N,
06094549,browse,Live,1686313436330,1878,push,Android,m,39,0,4.13,N,
06094549,click,AddToCart,1686313438238,1908,push,Android,m,39,0,4.13,N,
02199595,browse,Activity,1686317428584,1908,push,Android,f,35,0,4.13,N,
02199595,browse,GoodList,1686317430609,2025,push,Android,f,35,0,4.13,N,
02199595,browse,Videos,1686317432561,1952,push,Android,f,35,0,4.13,N,
02199595,browse,Videos,1686317434410,1849,push,Android,f,35,0,4.13,N,
02199595,browse,Videos,1686317436256,1846,push,Android,f,35,0,4.13,N,
02199595,browse,Live,1686317438085,1829,push,Android,f,35,0,4.13,N,
02199595,browse,Live,1686317439807,1722,push,Android,f,35,0,4.13,N,
02199595,browse,Videos,1686317441736,1929,push,Android,f,35,0,4.13,N,
02199595,browse,Live,1686317443726,1990,push,Android,f,35,0,4.13,N,
02199595,browse,GoodDetail,1686317445768,2042,push,Android,f,35,0,4.13,N,
02199595,browse,Live,1686317447623,1855,push,Android,f,35,0,4.13,N,
02199595,click,AddToCart,1686317449593,1970,push,Android,f,35,0,4.13,N,
08058821,browse,Activity,1686308134659,1970,natural,Android,m,31,2,4.13,N,
08058821,browse,GoodList,1686308136568,1909,natural,Android,m,31,2,4.13,N,
08058821,browse,Instructions,1686308138549,1981,natural,Android,m,31,2,4.13,N,
08058821,browse,Live,1686308140622,2073,natural,Android,m,31,2,4.13,N,
08058821,browse,Activity,1686308142771,2149,natural,Android,m,31,2,4.13,N,
08058821,browse,GoodList,1686308144762,1991,natural,Android,m,31,2,4.13,N,
08058821,browse,Videos,1686308146890,2128,natural,Android,m,31,2,4.13,N,
08058821,browse,GoodDetail,1686308148930,2040,natural,Android,m,31,2,4.13,N,
08058821,click,Payment,1686308150908,1978,natural,Android,m,31,2,4.13,N,
08058821,browse,PaySuccess,1686308152856,1948,natural,Android,m,31,2,4.13,N,
24506128,browse,Activity,1686304437737,1948,push,Android,m,37,0,4.13,N,
24506128,browse,Videos,1686304439709,1972,push,Android,m,37,0,4.13,N,
24506128,browse,Live,1686304441674,1965,push,Android,m,37,0,4.13,N,
24506128,browse,Videos,1686304443515,1841,push,Android,m,37,0,4.13,N,
24506128,browse,Instructions,1686304445385,1870,push,Android,m,37,0,4.13,N,
24506128,browse,GoodList,1686304447289,1904,push,Android,m,37,0,4.13,N,
24506128,browse,Activity,1686304449154,1865,push,Android,m,37,0,4.13,N,
24506128,browse,GoodList,1686304451148,1994,push,Android,m,37,0,4.13,N,
24506128,browse,GoodDetail,1686304453202,2054,push,Android,m,37,0,4.13,N,
24506128,click,AddToCart,1686304455156,1954,push,Android,m,37,0,4.13,N,
02115746,browse,Activity,1686317208660,1954,natural,Android,f,42,0,4.13,N,
02115746,browse,GoodList,1686317210697,2037,natural,Android,f,42,0,4.13,N,
02115746,browse,GoodDetail,1686317212718,2021,natural,Android,f,42,0,4.13,N,
02115746,browse,GoodList,1686317214622,1904,natural,Android,f,42,0,4.13,N,
02115746,browse,GoodDetail,1686317216776,2154,natural,Android,f,42,0,4.13,N,
02115746,browse,GoodList,1686317218901,2125,natural,Android,f,42,0,4.13,N,
02115746,browse,Live,1686317221022,2121,natural,Android,f,42,0,4.13,N,
02115746,browse,Videos,1686317222894,1872,natural,Android,f,42,0,4.13,N,
02115746,browse,GoodDetail,1686317224810,1916,natural,Android,f,42,0,4.13,N,
02115746,browse,GoodList,1686317226716,1906,natural,Android,f,42,0,4.13,N,
02115746,browse,GoodDetail,1686317228764,2048,natural,Android,f,42,0,4.13,N,
02115746,click,AddToCart,1686317230780,2016,natural,Android,f,42,0,4.13,N,
19861606,browse,Activity,1686313493159,2016,natural,Android,m,55,1,4.13,N,
19861606,browse,GoodList,1686313495248,2089,natural,Android,m,55,1,4.13,N,
19861606,browse,Activity,1686313497190,1942,natural,Android,m,55,1,4.13,N,
19861606,browse,Videos,1686313499266,2076,natural,Android,m,55,1,4.13,N,
19861606,browse,Live,1686313501383,2117,natural,Android,m,55,1,4.13,N,
19861606,browse,Live,1686313503213,1830,natural,Android,m,55,1,4.13,N,
19861606,browse,Videos,1686313505186,1973,natural,Android,m,55,1,4.13,N,
19861606,browse,Live,1686313507280,2094,natural,Android,m,55,1,4.13,N,
19861606,browse,Live,1686313509132,1852,natural,Android,m,55,1,4.13,N,
19861606,browse,GoodList,1686313511035,1903,natural,Android,m,55,1,4.13,N,
19861606,browse,Videos,1686313512999,1964,natural,Android,m,55,1,4.13,N,
19861606,browse,GoodDetail,1686313515026,2027,natural,Android,m,55,1,4.13,N,
19861606,click,AddToCart,1686313516895,1869,natural,Android,m,55,1,4.13,N,
22990295,browse,Activity,1686316095861,1869,natural,Android,m,31,0,4.13,N,
22990295,browse,GoodList,1686316097789,1928,natural,Android,m,31,0,4.13,N,
22990295,browse,Videos,1686316099852,2063,natural,Android,m,31,0,4.13,N,
22990295,browse,GoodDetail,1686316101869,2017,natural,Android,m,31,0,4.13,N,
22990295,browse,GoodList,1686316104080,2211,natural,Android,m,31,0,4.13,N,
22990295,browse,GoodDetail,1686316106206,2126,natural,Android,m,31,0,4.13,N,
22990295,browse,GoodList,1686316108172,1966,natural,Android,m,31,0,4.13,N,
22990295,browse,GoodDetail,1686316110115,1943,natural,Android,m,31,0,4.13,N,
22990295,browse,Instructions,1686316112183,2068,natural,Android,m,31,0,4.13,N,
22990295,browse,GoodList,1686316114252,2069,natural,Android,m,31,0,4.13,N,
22990295,browse,Live,1686316116235,1983,natural,Android,m,31,0,4.13,N,
22990295,browse,GoodDetail,1686316118155,1920,natural,Android,m,31,0,4.13,N,
22990295,click,AddToCart,1686316120229,2074,natural,Android,m,31,0,4.13,N,
05204575,browse,Activity,1686312036451,2074,push,Android,f,26,0,4.13,N,
05204575,browse,Videos,1686312038562,2111,push,Android,f,26,0,4.13,N,
05204575,browse,Settings,1686312040657,2095,push,Android,f,26,0,4.13,N,
05204575,browse,Live,1686312042627,1970,push,Android,f,26,0,4.13,N,
05204575,browse,Instructions,1686312044554,1927,push,Android,f,26,0,4.13,N,
05204575,browse,Live,1686312046314,1760,push,Android,f,26,0,4.13,N,
05204575,browse,GoodList,1686312048387,2073,push,Android,f,26,0,4.13,N,
05204575,browse,Videos,1686312050380,1993,push,Android,f,26,0,4.13,N,
05204575,browse,Videos,1686312052197,1817,push,Android,f,26,0,4.13,N,
05204575,browse,Live,1686312054270,2073,push,Android,f,26,0,4.13,N,
05204575,browse,GoodDetail,1686312056216,1946,push,Android,f,26,0,4.13,N,
05204575,click,AddToCart,1686312058163,1947,push,Android,f,26,0,4.13,N,
18030001,browse,Activity,1686308256930,1947,natural,Android,f,49,0,4.13,N,
18030001,browse,GoodList,1686308258784,1854,natural,Android,f,49,0,4.13,N,
18030001,browse,Settings,1686308260633,1849,natural,Android,f,49,0,4.13,N,
18030001,browse,Videos,1686308262665,2032,natural,Android,f,49,0,4.13,N,
18030001,browse,Live,1686308264682,2017,natural,Android,f,49,0,4.13,N,
18030001,browse,Instructions,1686308266716,2034,natural,Android,f,49,0,4.13,N,
18030001,browse,Live,1686308268673,1957,natural,Android,f,49,0,4.13,N,
18030001,browse,Activity,1686308270539,1866,natural,Android,f,49,0,4.13,N,
18030001,browse,GoodList,1686308272380,1841,natural,Android,f,49,0,4.13,N,
18030001,browse,Videos,1686308274273,1893,natural,Android,f,49,0,4.13,N,
18030001,browse,GoodDetail,1686308276328,2055,natural,Android,f,49,0,4.13,N,
18030001,browse,Live,1686308278375,2047,natural,Android,f,49,0,4.13,N,
18030001,browse,Videos,1686308280359,1984,natural,Android,f,49,0,4.13,N,
18030001,browse,Live,1686308282332,1973,natural,Android,f,49,0,4.13,N,
18030001,browse,Videos,1686308284308,1976,natural,Android,f,49,0,4.13,N,
18030001,click,AddToCart,1686308286258,1950,natural,Android,f,49,0,4.13,N,
21710604,browse,Activity,1686316041174,1950,push,Android,f,17,0,4.13,N,
21710604,browse,Videos,1686316043086,1912,push,Android,f,17,0,4.13,N,
21710604,browse,Videos,1686316045332,2246,push,Android,f,17,0,4.13,N,
21710604,browse,Videos,1686316047263,1931,push,Android,f,17,0,4.13,N,
21710604,browse,GoodList,1686316049301,2038,push,Android,f,17,0,4.13,N,
21710604,browse,GoodDetail,1686316051372,2071,push,Android,f,17,0,4.13,N,
21710604,browse,Live,1686316053374,2002,push,Android,f,17,0,4.13,N,
21710604,browse,Live,1686316055485,2111,push,Android,f,17,0,4.13,N,
